iter	Passed	Remaining
0	9	9017
1	16	8126
2	23	7876
3	31	7855
4	39	7870
5	49	8220
6	58	8353
7	66	8306
8	76	8431
9	86	8580
10	95	8623
11	104	8610
12	113	8594
13	121	8560
14	129	8510
15	138	8501
16	147	8557
17	156	8560
18	164	8493
19	173	8501
20	181	8445
21	191	8492
22	199	8462
23	208	8468
24	217	8481
25	226	8474
26	234	8452
27	242	8426
28	250	8399
29	258	8367
30	266	8344
31	275	8345
32	284	8341
33	291	8276
34	299	8267
35	307	8239
36	316	8234
37	324	8221
38	332	8202
39	342	8220
40	352	8253
41	362	8273
42	370	8255
43	378	8233
44	386	8210
45	396	8214
46	404	8198
47	412	8178
48	421	8185
49	430	8180
50	440	8194
51	447	8165
52	456	8164
53	465	8161
54	474	8156
55	483	8144
56	492	8146
57	501	8142
58	511	8153
59	520	8147
60	528	8142
61	538	8145
62	546	8131
63	554	8103
64	562	8095
65	572	8097
66	581	8100
67	590	8092
68	599	8092
69	608	8088
70	617	8082
71	626	8071
72	636	8077
73	644	8063
74	653	8065
75	663	8069
76	672	8059
77	681	8054
78	690	8051
79	700	8058
80	710	8057
81	719	8050
82	728	8048
83	737	8037
84	746	8030
85	755	8024
86	763	8014
87	773	8011
88	782	8005
89	791	7997
90	798	7979
91	808	7976
92	817	7969
93	825	7956
94	834	7948
95	842	7937
96	851	7925
97	859	7914
98	869	7910
99	878	7906
100	887	7895
101	896	7891
102	905	7884
103	913	7868
104	922	7861
105	931	7855
106	940	7849
107	949	7841
108	958	7832
109	967	7824
110	976	7823
111	986	7821
112	995	7813
113	1004	7805
114	1013	7796
115	1021	7785
116	1030	7778
117	1038	7765
118	1046	7749
119	1055	7742
120	1064	7730
121	1074	7732
122	1083	7722
123	1090	7702
124	1098	7690
125	1107	7682
126	1115	7667
127	1124	7663
128	1133	7655
129	1142	7644
130	1151	7638
131	1159	7626
132	1169	7621
133	1178	7614
134	1187	7607
135	1196	7599
136	1205	7591
137	1214	7584
138	1222	7573
139	1231	7564
140	1240	7556
141	1248	7546
142	1258	7542
143	1267	7535
144	1277	7533
145	1285	7521
146	1294	7513
147	1303	7504
148	1312	7498
149	1321	7489
150	1330	7480
151	1338	7469
152	1347	7461
153	1356	7452
154	1365	7441
155	1373	7429
156	1382	7424
157	1391	7416
158	1400	7408
159	1409	7400
160	1418	7390
161	1427	7382
162	1435	7372
163	1444	7365
164	1453	7354
165	1462	7347
166	1471	7338
167	1480	7330
168	1487	7316
169	1496	7304
170	1504	7295
171	1513	7284
172	1522	7277
173	1531	7272
174	1541	7267
175	1551	7261
176	1559	7249
177	1568	7242
178	1578	7238
179	1586	7229
180	1596	7223
181	1605	7214
182	1613	7204
183	1622	7197
184	1632	7189
185	1639	7175
186	1648	7166
187	1656	7153
188	1664	7143
189	1673	7132
190	1682	7126
191	1692	7123
192	1701	7115
193	1710	7107
194	1720	7102
195	1728	7089
196	1737	7082
197	1747	7076
198	1756	7070
199	1764	7058
200	1773	7051
201	1782	7040
202	1791	7034
203	1800	7027
204	1809	7018
205	1818	7008
206	1827	7001
207	1837	6998
208	1846	6987
209	1855	6981
210	1864	6970
211	1873	6962
212	1882	6955
213	1891	6946
214	1900	6938
215	1908	6925
216	1917	6917
217	1925	6908
218	1935	6901
219	1943	6889
220	1951	6877
221	1959	6868
222	1968	6858
223	1977	6849
224	1986	6841
225	1993	6828
226	2002	6818
227	2010	6807
228	2020	6802
229	2028	6792
230	2038	6784
231	2045	6772
232	2054	6764
233	2064	6756
234	2072	6747
235	2081	6739
236	2091	6732
237	2100	6724
238	2110	6718
239	2118	6709
240	2128	6703
241	2137	6694
242	2145	6682
243	2153	6671
244	2162	6665
245	2171	6656
246	2180	6648
247	2190	6642
248	2198	6631
249	2208	6625
250	2217	6617
251	2226	6607
252	2235	6599
253	2243	6590
254	2253	6582
255	2262	6576
256	2271	6565
257	2279	6555
258	2288	6548
259	2297	6538
260	2307	6533
261	2316	6525
262	2326	6518
263	2335	6510
264	2344	6502
265	2353	6495
266	2362	6486
267	2372	6479
268	2381	6471
269	2390	6462
270	2399	6455
271	2407	6443
272	2415	6432
273	2423	6421
274	2432	6414
275	2441	6404
276	2449	6393
277	2458	6384
278	2467	6377
279	2476	6367
280	2486	6361
281	2494	6350
282	2502	6341
283	2512	6334
284	2521	6325
285	2530	6317
286	2539	6308
287	2548	6301
288	2557	6292
289	2567	6286
290	2576	6276
291	2585	6269
292	2594	6260
293	2603	6252
294	2611	6242
295	2621	6233
296	2629	6224
297	2638	6216
298	2647	6206
299	2655	6195
300	2664	6186
301	2673	6178
302	2682	6170
303	2691	6162
304	2700	6152
305	2708	6142
306	2717	6134
307	2725	6122
308	2733	6113
309	2743	6105
310	2752	6098
311	2761	6089
312	2769	6077
313	2777	6068
314	2786	6060
315	2795	6050
316	2804	6042
317	2813	6034
318	2822	6025
319	2831	6017
320	2840	6008
321	2850	6001
322	2859	5992
323	2867	5983
324	2875	5973
325	2886	5966
326	2895	5959
327	2905	5951
328	2914	5944
329	2923	5935
330	2932	5927
331	2941	5919
332	2951	5910
333	2959	5901
334	2968	5893
335	2976	5881
336	2984	5872
337	2993	5862
338	3002	5855
339	3011	5846
340	3021	5839
341	3030	5831
342	3041	5825
343	3050	5817
344	3059	5809
345	3068	5799
346	3076	5788
347	3084	5779
348	3092	5768
349	3102	5761
350	3110	5750
351	3118	5740
352	3127	5732
353	3137	5724
354	3144	5713
355	3153	5704
356	3161	5694
357	3170	5685
358	3177	5674
359	3187	5665
360	3195	5655
361	3204	5647
362	3213	5638
363	3222	5630
364	3230	5620
365	3238	5610
366	3247	5602
367	3256	5592
368	3264	5582
369	3273	5574
370	3284	5567
371	3292	5558
372	3301	5550
373	3310	5541
374	3319	5533
375	3328	5523
376	3336	5513
377	3344	5503
378	3353	5494
379	3362	5486
380	3370	5476
381	3378	5466
382	3388	5458
383	3397	5449
384	3407	5442
385	3415	5432
386	3424	5423
387	3433	5415
388	3441	5405
389	3450	5396
390	3458	5387
391	3468	5379
392	3478	5372
393	3487	5364
394	3496	5354
395	3505	5346
396	3514	5338
397	3522	5328
398	3531	5320
399	3540	5311
400	3549	5301
401	3558	5293
402	3567	5284
403	3576	5276
404	3585	5267
405	3594	5258
406	3602	5248
407	3610	5239
408	3619	5230
409	3628	5221
410	3636	5210
411	3644	5202
412	3654	5193
413	3664	5186
414	3673	5178
415	3683	5170
416	3692	5162
417	3702	5154
418	3710	5145
419	3719	5136
420	3728	5127
421	3736	5117
422	3745	5108
423	3753	5098
424	3761	5088
425	3769	5078
426	3776	5067
427	3784	5058
428	3794	5049
429	3803	5041
430	3812	5033
431	3820	5022
432	3828	5013
433	3836	5003
434	3846	4996
435	3855	4987
436	3864	4978
437	3872	4968
438	3880	4958
439	3889	4950
440	3898	4941
441	3907	4933
442	3915	4923
443	3924	4914
444	3931	4903
445	3940	4894
446	3948	4885
447	3957	4876
448	3966	4867
449	3974	4857
450	3983	4848
451	3991	4839
452	4000	4830
453	4009	4822
454	4018	4813
455	4028	4805
456	4036	4796
457	4046	4788
458	4054	4778
459	4063	4769
460	4071	4759
461	4080	4751
462	4089	4742
463	4097	4733
464	4104	4722
465	4113	4713
466	4122	4705
467	4131	4696
468	4141	4688
469	4149	4679
470	4158	4670
471	4167	4662
472	4176	4652
473	4185	4644
474	4194	4636
475	4203	4627
476	4212	4618
477	4220	4609
478	4229	4600
479	4239	4592
480	4248	4583
481	4258	4576
482	4268	4568
483	4277	4560
484	4286	4551
485	4295	4542
486	4302	4532
487	4311	4523
488	4320	4514
489	4328	4504
490	4337	4496
491	4347	4488
492	4357	4480
493	4366	4472
494	4374	4462
495	4382	4453
496	4391	4444
497	4400	4435
498	4408	4426
499	4418	4418
500	4426	4408
501	4435	4399
502	4444	4391
503	4454	4384
504	4464	4375
505	4474	4368
506	4484	4360
507	4493	4352
508	4501	4342
509	4510	4333
510	4520	4326
511	4530	4317
512	4539	4309
513	4548	4300
514	4557	4292
515	4566	4283
516	4575	4274
517	4584	4266
518	4594	4258
519	4602	4248
520	4611	4239
521	4620	4231
522	4629	4221
523	4638	4213
524	4647	4205
525	4656	4196
526	4666	4188
527	4674	4178
528	4683	4170
529	4692	4161
530	4700	4151
531	4708	4142
532	4716	4132
533	4726	4124
534	4734	4114
535	4742	4105
536	4751	4096
537	4760	4087
538	4769	4079
539	4777	4069
540	4785	4060
541	4794	4051
542	4802	4042
543	4812	4033
544	4820	4024
545	4828	4014
546	4835	4004
547	4845	3996
548	4853	3987
549	4862	3978
550	4870	3968
551	4879	3960
552	4889	3952
553	4898	3943
554	4907	3935
555	4916	3926
556	4924	3916
557	4933	3907
558	4941	3898
559	4950	3889
560	4958	3879
561	4967	3871
562	4976	3862
563	4984	3853
564	4994	3845
565	5002	3835
566	5010	3826
567	5019	3817
568	5028	3808
569	5037	3800
570	5046	3791
571	5055	3782
572	5064	3773
573	5073	3765
574	5082	3756
575	5091	3747
576	5100	3739
577	5108	3729
578	5117	3720
579	5125	3711
580	5134	3702
581	5143	3694
582	5152	3685
583	5160	3676
584	5169	3667
585	5178	3658
586	5187	3649
587	5196	3641
588	5205	3632
589	5214	3623
590	5222	3614
591	5231	3605
592	5240	3596
593	5247	3586
594	5256	3577
595	5266	3569
596	5275	3560
597	5285	3553
598	5294	3544
599	5303	3535
600	5313	3527
601	5321	3518
602	5330	3509
603	5339	3500
604	5348	3491
605	5356	3482
606	5365	3473
607	5374	3465
608	5383	3456
609	5392	3447
610	5402	3439
611	5411	3430
612	5420	3422
613	5430	3413
614	5438	3404
615	5447	3395
616	5456	3387
617	5466	3378
618	5473	3369
619	5482	3360
620	5491	3351
621	5499	3342
622	5508	3333
623	5517	3324
624	5527	3316
625	5537	3308
626	5546	3299
627	5555	3290
628	5564	3282
629	5574	3273
630	5584	3265
631	5593	3256
632	5601	3247
633	5610	3239
634	5620	3230
635	5629	3222
636	5639	3213
637	5650	3205
638	5659	3197
639	5667	3187
640	5677	3179
641	5686	3171
642	5696	3162
643	5704	3153
644	5714	3144
645	5723	3136
646	5731	3126
647	5740	3118
648	5749	3109
649	5758	3100
650	5768	3092
651	5777	3083
652	5786	3074
653	5796	3066
654	5804	3057
655	5813	3048
656	5823	3040
657	5831	3031
658	5841	3022
659	5850	3013
660	5859	3005
661	5869	2997
662	5879	2988
663	5888	2979
664	5898	2971
665	5908	2962
666	5917	2954
667	5925	2944
668	5935	2936
669	5944	2928
670	5952	2918
671	5960	2909
672	5970	2900
673	5978	2891
674	5986	2882
675	5995	2873
676	6004	2864
677	6013	2855
678	6022	2847
679	6032	2838
680	6042	2830
681	6052	2821
682	6060	2812
683	6069	2803
684	6078	2795
685	6087	2786
686	6102	2780
687	6112	2771
688	6122	2763
689	6130	2754
690	6138	2745
691	6147	2736
692	6155	2726
693	6163	2717
694	6172	2708
695	6181	2699
696	6189	2690
697	6198	2682
698	6208	2673
699	6216	2664
700	6224	2655
701	6233	2646
702	6241	2636
703	6248	2627
704	6257	2618
705	6267	2609
706	6277	2601
707	6286	2592
708	6295	2583
709	6304	2574
710	6313	2566
711	6322	2557
712	6332	2548
713	6340	2539
714	6348	2530
715	6358	2522
716	6368	2513
717	6377	2504
718	6386	2495
719	6396	2487
720	6406	2478
721	6415	2470
722	6423	2461
723	6432	2452
724	6442	2443
725	6451	2434
726	6460	2426
727	6469	2417
728	6477	2408
729	6486	2399
730	6494	2389
731	6502	2380
732	6512	2372
733	6520	2363
734	6529	2354
735	6538	2345
736	6546	2336
737	6556	2327
738	6565	2318
739	6574	2309
740	6583	2301
741	6592	2292
742	6601	2283
743	6610	2274
744	6619	2265
745	6628	2256
746	6636	2247
747	6646	2239
748	6655	2230
749	6663	2221
750	6671	2212
751	6680	2203
752	6689	2194
753	6697	2185
754	6707	2176
755	6716	2167
756	6727	2159
757	6736	2150
758	6746	2142
759	6754	2132
760	6763	2124
761	6772	2115
762	6781	2106
763	6789	2097
764	6799	2088
765	6807	2079
766	6816	2070
767	6826	2062
768	6834	2053
769	6843	2044
770	6853	2035
771	6862	2026
772	6871	2017
773	6880	2008
774	6888	1999
775	6896	1990
776	6904	1981
777	6913	1972
778	6922	1963
779	6931	1954
780	6939	1945
781	6947	1936
782	6956	1927
783	6964	1918
784	6974	1910
785	6983	1901
786	6992	1892
787	7001	1883
788	7011	1875
789	7021	1866
790	7031	1857
791	7041	1849
792	7049	1840
793	7059	1831
794	7067	1822
795	7076	1813
796	7085	1804
797	7094	1795
798	7103	1786
799	7112	1778
800	7121	1769
801	7129	1760
802	7138	1751
803	7147	1742
804	7156	1733
805	7164	1724
806	7172	1715
807	7180	1706
808	7189	1697
809	7197	1688
810	7205	1679
811	7213	1670
812	7222	1661
813	7231	1652
814	7239	1643
815	7247	1634
816	7256	1625
817	7267	1616
818	7275	1607
819	7285	1599
820	7295	1590
821	7304	1581
822	7314	1573
823	7322	1564
824	7331	1555
825	7340	1546
826	7350	1537
827	7359	1528
828	7367	1519
829	7377	1510
830	7386	1502
831	7395	1493
832	7404	1484
833	7413	1475
834	7421	1466
835	7431	1457
836	7440	1449
837	7448	1439
838	7458	1431
839	7466	1422
840	7475	1413
841	7484	1404
842	7493	1395
843	7502	1386
844	7513	1378
845	7521	1369
846	7530	1360
847	7540	1351
848	7549	1342
849	7559	1334
850	7568	1325
851	7577	1316
852	7586	1307
853	7595	1298
854	7604	1289
855	7614	1280
856	7625	1272
857	7635	1263
858	7642	1254
859	7658	1246
860	7668	1238
861	7677	1229
862	7686	1220
863	7694	1211
864	7705	1202
865	7714	1193
866	7722	1184
867	7733	1176
868	7742	1167
869	7752	1158
870	7762	1149
871	7772	1140
872	7781	1132
873	7790	1123
874	7799	1114
875	7807	1105
876	7815	1096
877	7824	1087
878	7834	1078
879	7843	1069
880	7853	1060
881	7862	1051
882	7870	1042
883	7879	1033
884	7887	1024
885	7895	1015
886	7904	1007
887	7913	998
888	7922	989
889	7930	980
890	7939	971
891	7948	962
892	7956	953
893	7964	944
894	7974	935
895	7982	926
896	7991	917
897	7998	908
898	8007	899
899	8016	890
900	8025	881
901	8033	872
902	8041	863
903	8051	855
904	8060	846
905	8068	837
906	8076	828
907	8085	819
908	8094	810
909	8103	801
910	8112	792
911	8121	783
912	8130	774
913	8138	765
914	8148	756
915	8157	748
916	8167	739
917	8175	730
918	8184	721
919	8193	712
920	8202	703
921	8210	694
922	8219	685
923	8229	676
924	8238	667
925	8247	659
926	8257	650
927	8266	641
928	8275	632
929	8284	623
930	8294	614
931	8303	605
932	8314	597
933	8324	588
934	8334	579
935	8343	570
936	8352	561
937	8362	552
938	8371	543
939	8380	534
940	8388	525
941	8398	517
942	8406	508
943	8414	499
944	8423	490
945	8432	481
946	8440	472
947	8448	463
948	8456	454
949	8464	445
950	8473	436
951	8481	427
952	8490	418
953	8500	409
954	8509	400
955	8519	392
956	8527	383
957	8536	374
958	8544	365
959	8553	356
960	8563	347
961	8571	338
962	8579	329
963	8588	320
964	8597	311
965	8606	302
966	8615	294
967	8623	285
968	8632	276
969	8641	267
970	8651	258
971	8660	249
972	8668	240
973	8678	231
974	8687	222
975	8695	213
976	8704	204
977	8713	196
978	8723	187
979	8731	178
980	8741	169
981	8749	160
982	8758	151
983	8767	142
984	8775	133
985	8784	124
986	8793	115
987	8801	106
988	8811	98
989	8819	89
990	8828	80
991	8837	71
992	8846	62
993	8854	53
994	8862	44
995	8872	35
996	8880	26
997	8890	17
998	8898	8
999	8907	0
